official_game_date,pitcher_name,pitcher_team,opposing_team,venue,at,innings_pitched,batters_faced,num_hits,singles,doubles,triples,home_runs,strikeouts,walks,intent_walks,hit_by_pitches,wild_pitches
2021-04-01,"Márquez, Germán",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,3.2,21,6,6,0,0,0,2,6,0,0,0
2021-04-01,"Kershaw, Clayton",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,5.2,29,10,9,0,1,0,2,1,0,0,0
2021-04-01,"González, Chi Chi",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.2,10,4,2,2,0,0,2,1,0,0,0
2021-04-01,"Nelson, Jimmy",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,0.2,5,1,0,1,0,0,1,2,0,0,0
2021-04-01,"Almonte, Yency",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,3,1,1,0,0,0,0,0,0,0,0
2021-04-01,"Alexander, Scott",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,1.1,5,0,0,0,0,0,0,0,0,0,0
2021-04-01,"Kinley, Tyler",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,5,2,1,1,0,0,0,0,0,0,0
2021-04-01,"Bard, Daniel",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,6,1,0,0,1,0,2,1,0,1,0
2021-04-01,"Knebel, Corey",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,0.1,1,0,0,0,0,0,1,0,0,0,0
2021-04-02,"Bowden, Ben",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.2,8,3,2,1,0,0,2,0,0,0,0
2021-04-02,"Stephenson, Robert",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,0.2,3,1,1,0,0,0,1,0,0,0,0
2021-04-02,"Estévez, Carlos",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,5,1,0,0,1,0,1,1,0,0,0
2021-04-02,"Chacín, Jhoulys",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.2,7,2,0,1,1,0,1,0,0,0,0
2021-04-02,"Sheffield, Jordan",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,3,0,0,0,0,0,0,0,0,0,0
2021-04-02,"González, Victor",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,1.0,3,0,0,0,0,0,1,0,0,0,0
2021-04-02,"Senzatela, Antonio",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,3.1,21,9,6,3,0,0,2,1,0,1,0
2021-04-02,"Bauer, Trevor",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,5.1,20,1,1,0,0,0,8,2,0,0,0
2021-04-02,"Price, David",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,1.2,8,4,2,0,0,2,2,0,0,0,0
2021-04-03,"Jansen, Kenley",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,1.2,6,0,0,0,0,0,1,1,0,0,0
2021-04-03,"Treinen, Blake",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,0.1,3,1,0,0,0,1,1,1,0,0,0
2021-04-03,"Buehler, Walker",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,5.2,21,4,1,2,0,1,4,0,0,0,0
2021-04-03,"Almonte, Yency",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,7,3,3,0,0,0,2,0,0,1,0
2021-04-03,"González, Victor",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,0.1,4,2,0,2,0,0,0,1,0,0,0
2021-04-03,"Bard, Daniel",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,5,1,0,1,0,0,2,1,0,0,0
2021-04-03,"Kinley, Tyler",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,6,2,1,0,1,0,2,0,0,0,0
2021-04-03,"Gray, Jon",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,5.0,20,4,3,1,0,0,7,1,0,0,0
2021-04-03,"Givens, Mychal",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,7,2,0,1,0,1,1,1,1,0,0
2021-04-04,"Gomber, Austin",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,3.0,16,1,0,1,0,0,2,7,0,0,0
2021-04-04,"Estévez, Carlos",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,0.2,3,1,1,0,0,0,2,0,0,0,0
2021-04-04,"Knebel, Corey",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,0.2,2,0,0,0,0,0,1,0,0,0,0
2021-04-04,"Nelson, Jimmy",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,1.0,5,1,0,1,0,0,3,1,0,0,0
2021-04-04,"Givens, Mychal",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,3,0,0,0,0,0,1,0,0,0,0
2021-04-04,"Urías, Julio",Los Angeles Dodgers,Colorado Rockies,Coors Field,away,7.0,25,3,2,1,0,0,6,1,0,0,0
2021-04-04,"Stephenson, Robert",Colorado Rockies,Los Angeles Dodgers,Coors Field,home,1.0,5,2,1,0,0,1,1,0,0,0,0
