pitcher_name,pitcher_team,pitch_type,times_thrown,strikes,balls,put_in_play,to_righty,to_lefty,called_strikes,swinging_strikes,fouls,balls_in_dirt,in_play_out,in_play_safe,in_play_runs,hit_by_pitches,avg_speed,avg_spin_rate,avg_hit_launch_speed,avg_hit_launch_angle
"Wendelken, J.B.",Arizona Diamondbacks,Slider,14,7,6,1,11,3,1,3,3,2,0,0,1,0,82.6630078557143,2583.200983714286,92.56225874333332,-2.057316248333334
"Wendelken, J.B.",Arizona Diamondbacks,Four-Seam Fastball,19,11,6,2,11,8,3,0,8,0,0,2,0,0,94.5066172968421,2380.1204873157894,87.57267438625,22.810468338
"Gallen, Zac",Arizona Diamondbacks,Four-Seam Fastball,114,59,39,16,65,49,27,7,25,0,9,6,1,0,94.1504544867544,2426.262315070175,78.28831972458975,18.81992193120513
"Gallen, Zac",Arizona Diamondbacks,Changeup,20,9,7,4,5,15,1,2,6,2,2,0,2,0,86.9394985995,1512.61983345,75.680137105,-15.549416697500002
"Gallen, Zac",Arizona Diamondbacks,Slider,18,9,5,4,16,2,3,5,1,1,3,1,0,1,86.18900965055555,2523.7359099444443,84.21591622000001,26.917446959400003
"Ramirez, Noé",Arizona Diamondbacks,Four-Seam Fastball,21,12,6,3,14,7,6,3,3,0,3,0,0,0,87.92744360190476,2221.077359428572,80.50748760166667,35.9594474875
"Ramirez, Noé",Arizona Diamondbacks,Curveball,15,8,6,1,12,3,4,3,1,1,0,0,1,0,76.39244470466666,2536.473676066667,88.912406565,14.656596085499999
"Ramirez, Noé",Arizona Diamondbacks,Changeup,16,6,5,5,6,10,1,1,4,0,4,1,0,0,83.53086845187501,2178.84014875,72.0583804511111,-6.552184249
"Smith, Caleb",Arizona Diamondbacks,Four-Seam Fastball,117,61,45,11,81,36,17,10,34,0,9,2,0,0,91.72707224,2473.7186332222227,77.81997927263157,35.276850251763165
"Smith, Caleb",Arizona Diamondbacks,Slider,43,24,13,6,11,32,5,11,8,1,3,2,1,0,84.61093859790698,2466.1747239534884,74.65104275133334,32.5040046346
"Smith, Caleb",Arizona Diamondbacks,Changeup,20,11,6,3,20,0,1,5,5,2,1,0,2,0,82.44336550850001,1958.5631797,94.669102995,35.415304855
"Smith, Caleb",Arizona Diamondbacks,Curveball,15,7,5,3,6,9,2,3,2,0,2,1,0,0,78.86973230666665,2721.550937,80.046147292,9.771803802600001
"Widener, Taylor",Arizona Diamondbacks,Four-Seam Fastball,87,35,42,10,58,29,12,3,20,2,7,1,2,2,91.57196637402299,2165.702614379311,84.65244090959999,28.02984180052
"Widener, Taylor",Arizona Diamondbacks,Changeup,11,4,5,2,2,9,2,2,0,1,2,0,0,0,84.93181356727274,1647.3122526363638,87.582060885,17.182184609
"Widener, Taylor",Arizona Diamondbacks,Slider,20,10,7,3,9,11,4,1,5,0,3,0,0,1,82.9221674145,2255.00025615,64.92312768983332,27.45133446333333
"Clarke, Taylor",Arizona Diamondbacks,Four-Seam Fastball,55,26,16,13,38,17,6,7,13,0,6,6,1,0,95.42931406381818,2261.091675036364,83.16146643875,28.132726502708334
"Clarke, Taylor",Arizona Diamondbacks,Slider,34,17,14,3,31,3,6,7,4,0,2,0,1,0,88.01590496323529,2236.053714588236,77.66968312833335,17.626091232166665
"Clarke, Taylor",Arizona Diamondbacks,Curveball,1,1,0,0,0,1,1,0,0,0,0,0,0,0,78.44959156,2770.039529,,
"Clarke, Taylor",Arizona Diamondbacks,Changeup,7,0,4,3,0,7,0,0,0,1,2,1,0,0,89.81208518571428,1696.2496288571426,99.83456402333333,-1.0793994953333332
"Clippard, Tyler",Arizona Diamondbacks,Four-Seam Fastball,9,3,3,3,8,1,0,2,1,0,2,0,1,0,89.22911379666667,2172.9465606666668,88.51445426,-10.026157496666668
"Clippard, Tyler",Arizona Diamondbacks,Changeup,9,5,3,1,5,4,2,0,3,0,0,1,0,0,79.12732084222222,2006.307349111111,80.6920090375,44.208594465000004
"Gilbert, Tyler",Arizona Diamondbacks,Sinker,10,2,3,5,10,0,0,0,2,0,3,2,0,0,88.44730470700001,1978.4979266999999,87.328557098,25.0859664888
"Gilbert, Tyler",Arizona Diamondbacks,Four-Seam Fastball,21,6,10,5,9,12,4,0,2,0,2,1,2,1,88.72840879857144,2184.9650956190476,70.56707502166665,32.3937778905
"de Geus, Brett",Arizona Diamondbacks,Sinker,43,18,19,6,34,9,11,0,7,0,3,1,2,0,94.64375035697675,2098.946587093023,88.76884121090909,2.2621626557272725
"de Geus, Brett",Arizona Diamondbacks,Curveball,14,8,5,1,13,1,2,3,3,0,1,0,0,0,83.143717895,2360.7889252142854,65.7742126725,28.778716806499997
"Aguilar, Miguel",Arizona Diamondbacks,Four-Seam Fastball,2,2,0,0,0,2,1,1,0,0,0,0,0,0,91.38876845,2238.2563845,,
"Aguilar, Miguel",Arizona Diamondbacks,Curveball,1,0,0,1,0,1,0,0,0,0,1,0,0,0,81.65339695,2396.688876,80.83342065,-22.26361705
"Peacock, Matt",Arizona Diamondbacks,Slider,23,8,10,5,18,5,3,3,2,3,3,0,2,0,86.67785130739131,2579.0827172173913,89.20178519333332,8.262187122333332
"Peacock, Matt",Arizona Diamondbacks,Sinker,105,39,35,31,58,47,20,6,13,0,15,9,7,0,92.90567074971429,1989.7853397428569,84.40580200349999,6.771796611750001
"Peacock, Matt",Arizona Diamondbacks,Changeup,6,2,3,1,0,6,0,0,2,0,1,0,0,0,85.25990871166667,1655.0571819999998,86.97842501999999,-33.674514683000005
"Castellanos, Humberto",Arizona Diamondbacks,Four-Seam Fastball,12,5,6,1,0,12,2,0,3,0,0,1,0,0,90.688027655,2034.0362171666666,74.261773165,15.810704821249999
"Castellanos, Humberto",Arizona Diamondbacks,Sinker,21,13,3,5,16,5,5,1,7,0,5,0,0,0,90.11953690047619,1926.331232,82.92066487166667,9.854120011999997
"Castellanos, Humberto",Arizona Diamondbacks,Curveball,15,4,7,4,13,2,1,2,1,0,4,0,0,1,77.41847753733333,2315.103330133333,75.73094008000001,1.3602008280000004
"Castellanos, Humberto",Arizona Diamondbacks,Changeup,3,1,1,1,2,1,0,0,1,0,0,1,0,0,84.68809630333334,1385.5442156666668,95.00583924,16.88727412
"Castellanos, Humberto",Arizona Diamondbacks,Slider,9,6,1,2,5,4,3,0,3,0,0,2,0,0,86.35244643000001,1935.067409222222,80.40705887749999,10.49305745175
"Mantiply, Joe",Arizona Diamondbacks,Sinker,14,3,6,5,7,7,2,0,1,0,2,2,1,0,90.95508477285715,2162.9964335000004,67.09636128,13.049489606999998
"Mantiply, Joe",Arizona Diamondbacks,Four-Seam Fastball,1,0,0,1,0,1,0,0,0,0,0,1,0,0,89.44424843,2124.914524,55.57015620000001,-71.93051329
"Mantiply, Joe",Arizona Diamondbacks,Changeup,8,1,6,1,8,0,0,1,0,0,1,0,0,0,82.78129438875,1716.9609221249998,77.01295564,-16.9527987
"Mantiply, Joe",Arizona Diamondbacks,Curveball,7,6,1,0,0,7,1,3,2,0,0,0,0,0,80.70502624285714,2462.7144467142857,75.53235738,46.97100018
"Soria, Joakim",Arizona Diamondbacks,Four-Seam Fastball,30,17,9,4,26,4,5,4,8,0,4,0,0,0,93.26003551,2386.0538691666666,75.47539694000001,33.953032516727276
"Soria, Joakim",Arizona Diamondbacks,Slider,10,4,4,2,10,0,2,0,2,0,2,0,0,0,78.366800573,2794.9304418,66.4237679325,-5.31927735075
"Soria, Joakim",Arizona Diamondbacks,Changeup,4,3,0,1,4,0,0,1,2,0,0,1,0,0,87.3928874375,1651.4554174999998,76.33480797333333,-6.1759942636666665
"Soria, Joakim",Arizona Diamondbacks,Curveball,2,1,1,0,2,0,0,1,0,0,0,0,0,0,70.76569381499999,2710.4728594999997,,
"Kelly, Merrill",Arizona Diamondbacks,Four-Seam Fastball,55,27,15,13,35,20,13,5,9,0,7,3,3,0,91.31606055345455,2374.3164477636365,85.9308720145,27.204267709750003
"Kelly, Merrill",Arizona Diamondbacks,Changeup,38,14,10,14,14,24,4,4,6,1,8,4,2,0,86.31390655526316,2052.4784552105266,82.83929606650001,-2.58296300715
"Kelly, Merrill",Arizona Diamondbacks,Sinker,49,16,21,12,42,7,8,1,7,0,9,3,0,0,91.15255651857143,2200.7412277083336,87.38682714999999,-8.590202932999999
"Kelly, Merrill",Arizona Diamondbacks,Curveball,61,35,16,10,40,21,14,8,13,1,6,3,1,0,80.4121934452459,2587.05417552459,82.81339077789475,-2.3977936137894735
"Bukauskas, J.B.",Arizona Diamondbacks,Slider,23,12,7,4,19,4,3,6,3,2,3,0,1,0,86.04173118826087,2417.044511478261,71.7109887357143,-22.646648427142857
"Bukauskas, J.B.",Arizona Diamondbacks,Four-Seam Fastball,19,9,5,5,12,7,3,1,5,0,1,2,2,0,94.512166,2301.104249157895,85.73948981,25.522795804700003
"Bukauskas, J.B.",Arizona Diamondbacks,Changeup,5,1,4,0,0,5,1,0,0,1,0,0,0,0,89.287720344,1756.8619514000002,,
"Faria, Jake",Arizona Diamondbacks,Four-Seam Fastball,42,23,13,6,24,18,12,3,8,0,2,2,2,0,92.07299528238096,2118.546988071429,86.7973058075,24.09865663025
"Faria, Jake",Arizona Diamondbacks,Slider,23,8,8,7,19,4,1,5,2,0,6,1,0,0,84.9787656147826,1885.0678552608695,85.47646044750002,7.19191268625
"Faria, Jake",Arizona Diamondbacks,Curveball,9,4,5,0,8,1,2,2,0,0,0,0,0,0,76.27398906333333,2319.6175340000004,,
"Weems, Jordan",Arizona Diamondbacks,Slider,9,4,5,0,8,1,1,2,1,0,0,0,0,0,85.84323381777777,2169.941455888889,84.62218077,21.74962472
"Weems, Jordan",Arizona Diamondbacks,Four-Seam Fastball,9,6,1,2,5,4,1,0,5,0,1,0,1,1,96.12637104666668,1974.2071539999997,84.91426424800001,4.968597867599999
"Weems, Jordan",Arizona Diamondbacks,Changeup,2,2,0,0,1,1,0,1,1,0,0,0,0,0,86.29767927,832.8478490499999,,
"Smith, Riley",Arizona Diamondbacks,Sinker,43,21,15,7,23,20,7,4,10,0,4,3,0,1,92.45916790046512,2205.1957291860463,80.74988103566666,16.114703259666666
